,n,sf,bw,cr,pwr,pa,br [bits/s],t_est [s],t_meas [s],Q [mC],I_avg [mA]
0,0.0,6.0,125.0,7.0,2.0,1.0,0.0,25000.0,0.52512,1.18186270352664,2.2506526194520107
1,1.0,6.0,125.0,7.0,3.0,1.0,0.0,25000.0,0.52512,1.2017219683254978,2.2884711462627547
2,2.0,6.0,125.0,7.0,4.0,1.0,0.0,25000.0,0.52512,1.226312225958925,2.3352990287151982
3,3.0,6.0,125.0,7.0,5.0,1.0,0.0,25000.0,0.52512,1.2482001683175221,2.3769808202268474
4,4.0,6.0,125.0,7.0,6.0,1.0,0.0,25000.0,0.52512,1.271401207983348,2.4211631779085696
5,5.0,6.0,125.0,7.0,7.0,1.0,0.0,25000.0,0.52512,1.2959113189471398,2.467838434923712
6,6.0,6.0,125.0,7.0,8.0,1.0,0.0,25000.0,0.52512,1.3191901595710485,2.5121689510417586
7,7.0,6.0,125.0,7.0,9.0,1.0,0.0,25000.0,0.52512,1.3475326033752115,2.566142221540241
8,8.0,6.0,125.0,7.0,10.0,1.0,0.0,25000.0,0.52512,1.3817037323348775,2.6312152123988373
9,9.0,6.0,125.0,7.0,11.0,1.0,0.0,25000.0,0.52512,1.4160769167203067,2.696672982785471
10,10.0,6.0,125.0,7.0,12.0,1.0,0.0,25000.0,0.52512,1.4600168530584738,2.7803489736792995
11,11.0,6.0,125.0,7.0,13.0,1.0,0.0,25000.0,0.52512,1.50796675084896,2.8716612409524678
12,12.0,6.0,125.0,7.0,14.0,1.0,0.0,25000.0,0.52512,1.5347605390659138,2.922685365375369
13,13.0,6.0,125.0,7.0,15.0,1.0,0.0,25000.0,0.52512,1.5849641920705737,3.018289518720623
14,14.0,6.0,125.0,7.0,16.0,1.0,0.0,25000.0,0.52512,1.6550143361517253,3.151687873536954
15,15.0,6.0,125.0,7.0,17.0,1.0,0.0,25000.0,0.52512,1.7388542221929175,3.311346401190047
16,16.0,7.0,125.0,7.0,2.0,1.0,0.0,50000.0,0.55008,1.6856891615290486,3.0644436473404753
17,17.0,7.0,125.0,7.0,3.0,1.0,0.0,50000.0,0.55008,1.7367655145771874,3.157296237960274
18,18.0,7.0,125.0,7.0,4.0,1.0,0.0,50000.0,0.55008,1.8023278414939465,3.2764831324424564
19,19.0,7.0,125.0,7.0,5.0,1.0,0.0,50000.0,0.55008,1.8622420631599277,3.385402238147047
20,20.0,7.0,125.0,7.0,6.0,1.0,0.0,50000.0,0.55008,1.9250860633489106,3.4996474391886827
21,21.0,7.0,125.0,7.0,7.0,1.0,0.0,50000.0,0.55008,1.990077757118992,3.617796969748022
22,22.0,7.0,125.0,7.0,8.0,1.0,0.0,50000.0,0.55008,2.055471551381683,3.7366774857869447
23,23.0,7.0,125.0,7.0,9.0,1.0,0.0,50000.0,0.55008,2.1309697967156667,3.8739270591835124
24,24.0,7.0,125.0,7.0,10.0,1.0,0.0,50000.0,0.55008,2.223990279601775,4.043030613004972
25,25.0,7.0,125.0,7.0,11.0,1.0,0.0,50000.0,0.55008,2.316490612499973,4.2111885771160065
26,26.0,7.0,125.0,7.0,12.0,1.0,0.0,50000.0,0.55008,2.433233243485146,4.423417036585852
27,27.0,7.0,125.0,7.0,13.0,1.0,0.0,50000.0,0.55008,2.563964279193955,4.661075260314782
28,28.0,7.0,125.0,7.0,14.0,1.0,0.0,50000.0,0.55008,2.6422686802738817,4.803426193051704
29,29.0,7.0,125.0,7.0,15.0,1.0,0.0,50000.0,0.55008,2.771368795865185,5.038119538731067
30,30.0,7.0,125.0,7.0,16.0,1.0,0.0,50000.0,0.55008,2.9679739402401393,5.395531450407467
31,31.0,7.0,125.0,7.0,17.0,1.0,0.0,50000.0,0.55008,3.184137604692097,5.788499135929496
32,32.0,8.0,125.0,7.0,2.0,1.0,0.0,85000.0,0.58528,2.4781024977093127,4.234046093680482
33,33.0,8.0,125.0,7.0,3.0,1.0,0.0,85000.0,0.58528,2.5845145222154864,4.4158599682467985
34,34.0,8.0,125.0,7.0,4.0,1.0,0.0,85000.0,0.58528,2.714930526212249,4.638686656322186
35,35.0,8.0,125.0,7.0,5.0,1.0,0.0,85000.0,0.58528,2.833750514095291,4.841700577664179
36,36.0,8.0,125.0,7.0,6.0,1.0,0.0,85000.0,0.58528,2.956317385941099,5.0511163647162025
37,37.0,8.0,125.0,7.0,7.0,1.0,0.0,85000.0,0.58528,3.0911139999838357,5.281427692700649
38,38.0,8.0,125.0,7.0,8.0,1.0,0.0,85000.0,0.58528,3.219513276874883,5.500808633260803
39,39.0,8.0,125.0,7.0,9.0,1.0,0.0,85000.0,0.58528,3.366819249947704,5.752493251004141
40,40.0,8.0,125.0,7.0,10.0,1.0,0.0,85000.0,0.58528,3.5549817512977926,6.073984676219574
41,41.0,8.0,125.0,7.0,11.0,1.0,0.0,85000.0,0.58528,3.7394346523102753,6.389137937927616
42,42.0,8.0,125.0,7.0,12.0,1.0,0.0,85000.0,0.58528,3.9730073911093013,6.788216564907909
43,43.0,8.0,125.0,7.0,13.0,1.0,0.0,85000.0,0.58528,4.236128605339762,7.237781242037593
44,44.0,8.0,125.0,7.0,14.0,1.0,0.0,85000.0,0.58528,4.363216542756307,7.454921649050552
45,45.0,8.0,125.0,7.0,15.0,1.0,0.0,85000.0,0.58528,4.655867701801887,7.954940715216455
46,46.0,8.0,125.0,7.0,16.0,1.0,0.0,85000.0,0.58528,5.034612146066773,8.602057384613813
47,47.0,8.0,125.0,7.0,17.0,1.0,0.0,85000.0,0.58528,5.4924531832331835,9.3843172212158
48,48.0,6.0,250.0,7.0,2.0,1.0,0.0,13000.0,0.51328,1.028256650915753,2.0033055075509525
49,49.0,6.0,250.0,7.0,3.0,1.0,0.0,13000.0,0.51328,1.0376416615597959,2.0215898954952385
50,50.0,6.0,250.0,7.0,4.0,1.0,0.0,13000.0,0.51328,1.0502552630472832,2.046164399640125
51,51.0,6.0,250.0,7.0,5.0,1.0,0.0,13000.0,0.51328,1.0605136359123084,2.0661503193428703
52,52.0,6.0,250.0,7.0,6.0,1.0,0.0,13000.0,0.51328,1.0721974901601665,2.088913439370649
53,53.0,6.0,250.0,7.0,7.0,1.0,0.0,13000.0,0.51328,1.084744098592403,2.1133574240032793
54,54.0,6.0,250.0,7.0,8.0,1.0,0.0,13000.0,0.51328,1.0961834364797127,2.135644163964528
55,55.0,6.0,250.0,7.0,9.0,1.0,0.0,13000.0,0.51328,1.1100883976176346,2.1627345651839827
56,56.0,6.0,250.0,7.0,10.0,1.0,0.0,13000.0,0.51328,1.1277016388701486,2.1970496393199594
57,57.0,6.0,250.0,7.0,11.0,1.0,0.0,13000.0,0.51328,1.144887343191335,2.230531762763667
58,58.0,6.0,250.0,7.0,12.0,1.0,0.0,13000.0,0.51328,1.1662507248671246,2.2721530643452397
59,59.0,6.0,250.0,7.0,13.0,1.0,0.0,13000.0,0.51328,1.1901894825205896,2.3187918534144907
60,60.0,6.0,250.0,7.0,14.0,1.0,0.0,13000.0,0.51328,1.2029057778769734,2.34356643133762
61,61.0,6.0,250.0,7.0,15.0,1.0,0.0,13000.0,0.51328,1.2293054355246622,2.3949996795602058
62,62.0,6.0,250.0,7.0,16.0,1.0,0.0,13000.0,0.51328,1.2636718861307752,2.461954266931841
