,n,sf,bw,cr,pwr,pa,br [bits/s],t_est [s],t_meas [s],Q [mC],I_avg [mA]
0,0.0,6.0,125.0,7.0,2.0,1.0,0.0,25000.0,0.52512,1.0597826166268807,2.018172258963438
1,1.0,6.0,125.0,7.0,3.0,1.0,0.0,25000.0,0.52512,1.0793852434702211,2.055502063281195
2,2.0,6.0,125.0,7.0,4.0,1.0,0.0,25000.0,0.52512,1.102935792680195,2.1003500012953134
3,3.0,6.0,125.0,7.0,5.0,1.0,0.0,25000.0,0.52512,1.1246295011964251,2.1416619081284756
4,4.0,6.0,125.0,7.0,6.0,1.0,0.0,25000.0,0.52512,1.1478637231003725,2.185907455629899
5,5.0,6.0,125.0,7.0,7.0,1.0,0.0,25000.0,0.52512,1.170938487256254,2.229849343495304
6,6.0,6.0,125.0,7.0,8.0,1.0,0.0,25000.0,0.52512,1.1944064083042547,2.2745399305001803
7,7.0,6.0,125.0,7.0,9.0,1.0,0.0,25000.0,0.52544,1.2217418661526405,2.325178642951889
8,8.0,6.0,125.0,7.0,10.0,1.0,0.0,25000.0,0.52512,1.2556953195740295,2.3912540363612687
9,9.0,6.0,125.0,7.0,11.0,1.0,0.0,25000.0,0.52512,1.2894633941696312,2.4555594800609977
10,10.0,6.0,125.0,7.0,12.0,1.0,0.0,25000.0,0.52512,1.3322553546028206,2.53704934986826
11,11.0,6.0,125.0,7.0,13.0,1.0,0.0,25000.0,0.52512,1.3807813676788745,2.6294587288217444
12,12.0,6.0,125.0,7.0,14.0,1.0,0.0,25000.0,0.52512,1.4022900093584971,2.6704182079496057
13,13.0,6.0,125.0,7.0,15.0,1.0,0.0,25000.0,0.52512,1.450668002614892,2.7625457088187306
14,14.0,6.0,125.0,7.0,16.0,1.0,0.0,25000.0,0.52512,1.521799429532296,2.898003179334811
15,15.0,6.0,125.0,7.0,17.0,1.0,0.0,25000.0,0.52512,1.606120811477367,3.0585786324599464
