,n,sf,bw,cr,pwr,pa,br [bits/s],t_est [s],t_meas [s],Q [mC],I_avg [mA]
0,0.0,6.0,125.0,7.0,2.0,1.0,0.0,25000.0,0.52512,1.0895344277278936,2.0748294251369086
1,1.0,6.0,125.0,7.0,3.0,1.0,0.0,25000.0,0.52512,1.1095707548818563,2.1129851365056678
2,2.0,6.0,125.0,7.0,4.0,1.0,0.0,25000.0,0.52512,1.133557430011312,2.158663600722334
3,3.0,6.0,125.0,7.0,5.0,1.0,0.0,25000.0,0.52512,1.155577578168162,2.20059715525625
4,4.0,6.0,125.0,7.0,6.0,1.0,0.0,25000.0,0.52512,1.1784603541171812,2.2441734348666613
5,5.0,6.0,125.0,7.0,7.0,1.0,0.0,25000.0,0.52512,1.2034070698796484,2.2916801300267524
6,6.0,6.0,125.0,7.0,8.0,1.0,0.0,25000.0,0.52512,1.2256056714550871,2.3339535181579203
7,7.0,6.0,125.0,7.0,9.0,1.0,0.0,25000.0,0.52512,1.2533005891580768,2.386693687458251
8,8.0,6.0,125.0,7.0,10.0,1.0,0.0,25000.0,0.52512,1.287605469338948,2.452021384329197
9,9.0,6.0,125.0,7.0,11.0,1.0,0.0,25000.0,0.52512,1.321501837690594,2.5165711412450373
10,10.0,6.0,125.0,7.0,12.0,1.0,0.0,25000.0,0.52512,1.3643211933860637,2.5981131805797983
11,11.0,6.0,125.0,7.0,13.0,1.0,0.0,25000.0,0.52512,1.4122536476626528,2.68939222970493
12,12.0,6.0,125.0,7.0,14.0,1.0,0.0,25000.0,0.52512,1.4354357604072163,2.733538544346466
13,13.0,6.0,125.0,7.0,15.0,1.0,0.0,25000.0,0.52512,1.4817827944162405,2.821798435436168
14,14.0,6.0,125.0,7.0,16.0,1.0,0.0,25000.0,0.52512,1.5571342093490017,2.9652921415086104
15,15.0,6.0,125.0,7.0,17.0,1.0,0.0,25000.0,0.52512,1.639739887794599,3.122600334770336
16,16.0,7.0,125.0,7.0,2.0,1.0,0.0,50000.0,0.55008,1.5798155406245997,2.8719741503501304
17,17.0,7.0,125.0,7.0,3.0,1.0,0.0,50000.0,0.55008,1.63093293970346,2.9649013592631253
18,18.0,7.0,125.0,7.0,4.0,1.0,0.0,50000.0,0.55008,1.6968488343933763,3.0847310107500294
19,19.0,7.0,125.0,7.0,5.0,1.0,0.0,50000.0,0.55008,1.755622175195957,3.191576089288753
20,20.0,7.0,125.0,7.0,6.0,1.0,0.0,50000.0,0.55008,1.8166470038275238,3.3025141867137937
21,21.0,7.0,125.0,7.0,7.0,1.0,0.0,50000.0,0.55008,1.8824805277639778,3.422194094975236
22,22.0,7.0,125.0,7.0,8.0,1.0,0.0,50000.0,0.55008,1.9455133114693095,3.536782488854911
23,23.0,7.0,125.0,7.0,9.0,1.0,0.0,50000.0,0.55008,2.0177381187630585,3.668081222300499
24,24.0,7.0,125.0,7.0,10.0,1.0,0.0,50000.0,0.55008,2.1112817864661966,3.838135882901026
25,25.0,7.0,125.0,7.0,11.0,1.0,0.0,50000.0,0.55008,2.202167897360707,4.003359324754048
26,26.0,7.0,125.0,7.0,12.0,1.0,0.0,50000.0,0.55008,2.3189035809640233,4.215575154457576
27,27.0,7.0,125.0,7.0,13.0,1.0,0.0,50000.0,0.55008,2.4485367832027007,4.451237607625619
28,28.0,7.0,125.0,7.0,14.0,1.0,0.0,50000.0,0.55008,2.5077110870547337,4.558811603866226
29,29.0,7.0,125.0,7.0,15.0,1.0,0.0,50000.0,0.55008,2.6436216562419546,4.805885791597503
30,30.0,7.0,125.0,7.0,16.0,1.0,0.0,50000.0,0.55008,2.83447156148478,5.152835153949935
31,31.0,7.0,125.0,7.0,17.0,1.0,0.0,50000.0,0.55008,3.0617410233427207,5.5659922617486925
32,32.0,8.0,125.0,7.0,2.0,1.0,0.0,85000.0,0.58528,2.3508050494801322,4.016547719860806
33,33.0,8.0,125.0,7.0,3.0,1.0,0.0,85000.0,0.58528,2.4572752664992015,4.198461021219248
34,34.0,8.0,125.0,7.0,4.0,1.0,0.0,85000.0,0.58528,2.587498353072524,4.420958093685969
35,35.0,8.0,125.0,7.0,5.0,1.0,0.0,85000.0,0.58528,2.70451019075756,4.6208826386645026
36,36.0,8.0,125.0,7.0,6.0,1.0,0.0,85000.0,0.58528,2.827915742961209,4.831731381494684
37,37.0,8.0,125.0,7.0,7.0,1.0,0.0,85000.0,0.58528,2.9557013910301744,5.050063885713119
38,38.0,8.0,125.0,7.0,8.0,1.0,0.0,85000.0,0.58528,3.0825067145578235,5.266721423178348
39,39.0,8.0,125.0,7.0,9.0,1.0,0.0,85000.0,0.58528,3.229334293394706,5.517588664220042
40,40.0,8.0,125.0,7.0,10.0,1.0,0.0,85000.0,0.58528,3.4142470756120096,5.833527671562345
41,41.0,8.0,125.0,7.0,11.0,1.0,0.0,85000.0,0.58528,3.5954985259098313,6.143210986040581
42,42.0,8.0,125.0,7.0,12.0,1.0,0.0,85000.0,0.58528,3.8290454739375592,6.5422455473236045
