,n,sf,bw,cr,pwr,pa,br [bits/s],t_est [s],t_meas [s],Q [mC],I_avg [mA]
272,272.0,8.0,500.0,7.0,2.0,1.0,0.0,22000.0,0.01414,0.41479734616862063,29.33503155365068
273,273.0,8.0,500.0,7.0,3.0,1.0,0.0,22000.0,0.01411,0.4406434976106228,31.22916354433897
274,274.0,8.0,500.0,7.0,4.0,1.0,0.0,22000.0,0.01411,0.47426997455048103,33.61232987600858
275,275.0,8.0,500.0,7.0,5.0,1.0,0.0,22000.0,0.01414,0.5040943228355965,35.650234995445295
276,276.0,8.0,500.0,7.0,6.0,1.0,0.0,22000.0,0.01411,0.5357010637914381,37.9660569660835
277,277.0,8.0,500.0,7.0,7.0,1.0,0.0,22000.0,0.01414,0.5692778625137398,40.26010343095755
278,278.0,8.0,500.0,7.0,8.0,1.0,0.0,22000.0,0.01411,0.6012849314250394,42.61409861268883
279,279.0,8.0,500.0,7.0,9.0,1.0,0.0,22000.0,0.01411,0.6398520422112306,45.347416173722934
280,280.0,8.0,500.0,7.0,10.0,1.0,0.0,22000.0,0.01411,0.6868847939945592,48.680708291605896
281,281.0,8.0,500.0,7.0,11.0,1.0,0.0,22000.0,0.014150000000000001,0.7356120912016393,51.986720226264254
282,282.0,8.0,500.0,7.0,12.0,1.0,0.0,22000.0,0.014119999999999999,0.7952139091888135,56.31826552328708
283,283.0,8.0,500.0,7.0,13.0,1.0,0.0,22000.0,0.01414,0.8615168059901863,60.927638330281916
284,284.0,8.0,500.0,7.0,14.0,1.0,0.0,22000.0,0.01411,0.9037835984667136,64.05270010394852
285,285.0,8.0,500.0,7.0,15.0,1.0,0.0,22000.0,0.01414,0.9753404697286185,68.9774023853337
286,286.0,8.0,500.0,7.0,16.0,1.0,0.0,22000.0,0.01411,1.066743955457466,75.60198125141503
287,287.0,8.0,500.0,7.0,17.0,1.0,0.0,22000.0,0.0141,1.1762225758648812,83.42004084148094
288,288.0,6.0,125.0,7.0,2.0,1.0,0.0,25000.0,0.01052,0.2993368611810694,28.454074256755646
289,289.0,6.0,125.0,7.0,3.0,1.0,0.0,25000.0,0.010539999999999999,0.3191255936038627,30.277570550651113
290,290.0,6.0,125.0,7.0,4.0,1.0,0.0,25000.0,0.01052,0.3433064919425252,32.633696952711524
291,291.0,6.0,125.0,7.0,5.0,1.0,0.0,25000.0,0.01052,0.3655949431961591,34.75237102625086
292,292.0,6.0,125.0,7.0,6.0,1.0,0.0,25000.0,0.010539999999999999,0.3889714690423921,36.904313950891094
293,293.0,6.0,125.0,7.0,7.0,1.0,0.0,25000.0,0.01056,0.41457791720184217,39.25927246229566
294,294.0,6.0,125.0,7.0,8.0,1.0,0.0,25000.0,0.01053,0.4375447040680118,41.55220361519581
295,295.0,6.0,125.0,7.0,9.0,1.0,0.0,25000.0,0.01052,0.46648267835975815,44.3424599201291
296,296.0,6.0,125.0,7.0,10.0,1.0,0.0,25000.0,0.010539999999999999,0.5023322470296971,47.65960598004717
297,297.0,6.0,125.0,7.0,11.0,1.0,0.0,25000.0,0.01058,0.5375381073710384,50.807004477413834
298,298.0,6.0,125.0,7.0,12.0,1.0,0.0,25000.0,0.01053,0.5810860233632803,55.183857869257395
299,299.0,6.0,125.0,7.0,13.0,1.0,0.0,25000.0,0.01055,0.6306613100553096,59.77832322799142
