,n,sf,bw,cr,pwr,pa,br [bits/s],t_est [s],t_meas [s],Q [mC],I_avg [mA]
0,0.0,6.0,125.0,7.0,2.0,1.0,0.0,25000.0,0.52512,1.1499811345157172,2.189939698575025
1,1.0,6.0,125.0,7.0,3.0,1.0,0.0,25000.0,0.52512,1.1700756819421971,2.2282062803591502
2,2.0,6.0,125.0,7.0,4.0,1.0,0.0,25000.0,0.52512,1.1950092824160479,2.275687999725868
3,3.0,6.0,125.0,7.0,5.0,1.0,0.0,25000.0,0.52512,1.215641227338149,2.314977961871856
4,4.0,6.0,125.0,7.0,6.0,1.0,0.0,25000.0,0.52512,1.2392719939171404,2.3599786599579913
5,5.0,6.0,125.0,7.0,7.0,1.0,0.0,25000.0,0.52512,1.2635420922806746,2.406196854586903
6,6.0,6.0,125.0,7.0,8.0,1.0,0.0,25000.0,0.52512,1.28683952526735,2.450562776636483
7,7.0,6.0,125.0,7.0,9.0,1.0,0.0,25000.0,0.52512,1.314574684077271,2.5033795781483676
8,8.0,6.0,125.0,7.0,10.0,1.0,0.0,25000.0,0.52512,1.3490248010969457,2.5689838533991196
9,9.0,6.0,125.0,7.0,11.0,1.0,0.0,25000.0,0.52512,1.382563895088105,2.6328532432360316
10,10.0,6.0,125.0,7.0,12.0,1.0,0.0,25000.0,0.52512,1.426556440052789,2.716629418138309
11,11.0,6.0,125.0,7.0,13.0,1.0,0.0,25000.0,0.52512,1.4753594597459845,2.8095663081695315
12,12.0,6.0,125.0,7.0,14.0,1.0,0.0,25000.0,0.52512,1.4994258164597447,2.8553965121491176
13,13.0,6.0,125.0,7.0,15.0,1.0,0.0,25000.0,0.52512,1.5496358054272923,2.9510127312372263
14,14.0,6.0,125.0,7.0,16.0,1.0,0.0,25000.0,0.52512,1.6202452849006126,3.085476243336023
15,15.0,6.0,125.0,7.0,17.0,1.0,0.0,25000.0,0.52512,1.7016532798236534,3.2405036559713083
16,16.0,7.0,125.0,7.0,2.0,1.0,0.0,50000.0,0.55008,1.6470562155605726,2.994212142889348
17,17.0,7.0,125.0,7.0,3.0,1.0,0.0,50000.0,0.55008,1.7003652888665206,3.0911236345013826
18,18.0,7.0,125.0,7.0,4.0,1.0,0.0,50000.0,0.55008,1.7653770073204038,3.209309568281711
19,19.0,7.0,125.0,7.0,5.0,1.0,0.0,50000.0,0.55008,1.8238759340718658,3.315655784743793
20,20.0,7.0,125.0,7.0,6.0,1.0,0.0,50000.0,0.55008,1.8869243730443956,3.430272638606013
21,21.0,7.0,125.0,7.0,7.0,1.0,0.0,50000.0,0.55008,1.9538718780388864,3.551977672409261
22,22.0,7.0,125.0,7.0,8.0,1.0,0.0,50000.0,0.55008,2.018234593758723,3.668983772830721
23,23.0,7.0,125.0,7.0,9.0,1.0,0.0,50000.0,0.55008,2.0909192110772206,3.8011184029181586
24,24.0,7.0,125.0,7.0,10.0,1.0,0.0,50000.0,0.55008,2.183730061636073,3.969840862485589
25,25.0,7.0,125.0,7.0,11.0,1.0,0.0,50000.0,0.55008,2.275956239029533,4.137500434535945
26,26.0,7.0,125.0,7.0,12.0,1.0,0.0,50000.0,0.55008,2.3929776201933426,4.35023563880407
27,27.0,7.0,125.0,7.0,13.0,1.0,0.0,50000.0,0.55008,2.523312088300095,4.587172935391388
28,28.0,7.0,125.0,7.0,14.0,1.0,0.0,50000.0,0.55008,2.589761019170087,4.707971602621595
29,29.0,7.0,125.0,7.0,15.0,1.0,0.0,50000.0,0.55008,2.7297388114502534,4.962439665958139
