,n,sf,bw,cr,pwr,pa,br [bits/s],t_est [s],t_meas [s],Q [mC],I_avg [mA]
0,0.0,6.0,125.0,7.0,2.0,1.0,0.0,25000.0,0.01055,0.43468802293303704,41.202656202183604
1,1.0,6.0,125.0,7.0,3.0,1.0,0.0,25000.0,0.01058,0.46522248917600306,43.971879884310304
2,2.0,6.0,125.0,7.0,4.0,1.0,0.0,25000.0,0.01057,0.4996698277866325,47.272452959946314
3,3.0,6.0,125.0,7.0,5.0,1.0,0.0,25000.0,0.010539999999999999,0.5329480322131077,50.56432943198366
4,4.0,6.0,125.0,7.0,6.0,1.0,0.0,25000.0,0.010539999999999999,0.5722579990858035,54.29392780700224
5,5.0,6.0,125.0,7.0,7.0,1.0,0.0,25000.0,0.010539999999999999,0.619211522349618,58.7487212855425
6,6.0,6.0,125.0,7.0,8.0,1.0,0.0,25000.0,0.01055,0.6405093042585626,60.711782394176545
7,7.0,6.0,125.0,7.0,9.0,1.0,0.0,25000.0,0.010539999999999999,0.683763293190386,64.87317772204801
8,8.0,6.0,125.0,7.0,10.0,1.0,0.0,25000.0,0.010539999999999999,0.7357773986725008,69.80810234084448
9,9.0,6.0,125.0,7.0,11.0,1.0,0.0,25000.0,0.01057,0.7883138030867312,74.58030303564155
10,10.0,6.0,125.0,7.0,12.0,1.0,0.0,25000.0,0.010539999999999999,0.8500824903184065,80.65298769624351
11,11.0,6.0,125.0,7.0,13.0,1.0,0.0,25000.0,0.010539999999999999,0.9154682207561281,86.85656743416776
12,12.0,6.0,125.0,7.0,14.0,1.0,0.0,25000.0,0.01055,0.9801944249259564,92.90942416359776
13,13.0,6.0,125.0,7.0,15.0,1.0,0.0,25000.0,0.01057,1.0329706500513358,97.72664617325788
14,14.0,6.0,125.0,7.0,16.0,1.0,0.0,25000.0,0.01058,1.07758438870743,101.85107643737521
15,15.0,6.0,125.0,7.0,17.0,1.0,0.0,25000.0,0.010539999999999999,1.1285719073936822,107.07513352881236
16,16.0,7.0,125.0,7.0,2.0,1.0,0.0,50000.0,0.028079999999999997,1.1668489610375388,41.55445017939953
17,17.0,7.0,125.0,7.0,3.0,1.0,0.0,50000.0,0.028079999999999997,1.2486180775787212,44.466455754227965
18,18.0,7.0,125.0,7.0,4.0,1.0,0.0,50000.0,0.028079999999999997,1.3414733001728054,47.77326567566971
19,19.0,7.0,125.0,7.0,5.0,1.0,0.0,50000.0,0.028079999999999997,1.4299256470691648,50.92327802952867
20,20.0,7.0,125.0,7.0,6.0,1.0,0.0,50000.0,0.028079999999999997,1.536447858322785,54.716804071324255
21,21.0,7.0,125.0,7.0,7.0,1.0,0.0,50000.0,0.02811,1.6642453760295108,59.20474478938139
22,22.0,7.0,125.0,7.0,8.0,1.0,0.0,50000.0,0.028079999999999997,1.7174827192233395,61.163914502255686
23,23.0,7.0,125.0,7.0,9.0,1.0,0.0,50000.0,0.028079999999999997,1.8365282117887758,65.40342634575413
24,24.0,7.0,125.0,7.0,10.0,1.0,0.0,50000.0,0.02811,1.9819416512183166,70.50664002911122
25,25.0,7.0,125.0,7.0,11.0,1.0,0.0,50000.0,0.028079999999999997,2.126264105702412,75.72165618598335
26,26.0,7.0,125.0,7.0,12.0,1.0,0.0,50000.0,0.02807,2.291076242192411,81.62010125373747
27,27.0,7.0,125.0,7.0,13.0,1.0,0.0,50000.0,0.028079999999999997,2.468814916909544,87.9207591492003
28,28.0,7.0,125.0,7.0,14.0,1.0,0.0,50000.0,0.028079999999999997,2.6324842941351068,93.74944067432718
29,29.0,7.0,125.0,7.0,15.0,1.0,0.0,50000.0,0.02811,2.7791496187169535,98.86693769893111
30,30.0,7.0,125.0,7.0,16.0,1.0,0.0,50000.0,0.02811,2.894423963592687,102.96776818188144
31,31.0,7.0,125.0,7.0,17.0,1.0,0.0,50000.0,0.02811,3.0300720018077243,107.79338320198237
32,32.0,8.0,125.0,7.0,2.0,1.0,0.0,85000.0,0.055979999999999995,2.3327247819902786,41.670682064849565
33,33.0,8.0,125.0,7.0,3.0,1.0,0.0,85000.0,0.05602,2.493669606262823,44.51391657020391
34,34.0,8.0,125.0,7.0,4.0,1.0,0.0,85000.0,0.055979999999999995,2.67948930113723,47.865117919564675
35,35.0,8.0,125.0,7.0,5.0,1.0,0.0,85000.0,0.055990000000000005,2.856276251630912,51.01404271532259
36,36.0,8.0,125.0,7.0,6.0,1.0,0.0,85000.0,0.055979999999999995,3.071163406198263,54.861797181105096
37,37.0,8.0,125.0,7.0,7.0,1.0,0.0,85000.0,0.055990000000000005,3.325894655568562,59.40158341790608
38,38.0,8.0,125.0,7.0,8.0,1.0,0.0,85000.0,0.055979999999999995,3.440069043643048,61.45175140484188
39,39.0,8.0,125.0,7.0,9.0,1.0,0.0,85000.0,0.055979999999999995,3.6733671679552593,65.61927774125151
40,40.0,8.0,125.0,7.0,10.0,1.0,0.0,85000.0,0.055990000000000005,3.96895273933755,70.88681441931683
