,n,sf,bw,cr,pwr,pa,br [bits/s],t_est [s],t_meas [s],Q [mC],I_avg [mA]
0,0.0,6.0,125.0,7.0,2.0,1.0,0.0,25000.0,0.01058,0.3596898906822795,33.997154128759874
1,1.0,6.0,125.0,7.0,3.0,1.0,0.0,25000.0,0.010539999999999999,0.3856291616777352,36.58720699029746
2,2.0,6.0,125.0,7.0,4.0,1.0,0.0,25000.0,0.01056,0.41710688483024516,39.49875803316716
3,3.0,6.0,125.0,7.0,5.0,1.0,0.0,25000.0,0.01058,0.4465494653805008,42.2069437977789
4,4.0,6.0,125.0,7.0,6.0,1.0,0.0,25000.0,0.01055,0.48071541659264844,45.56544233105672
5,5.0,6.0,125.0,7.0,7.0,1.0,0.0,25000.0,0.01057,0.5188105250484968,49.083304167312846
6,6.0,6.0,125.0,7.0,8.0,1.0,0.0,25000.0,0.01058,0.5553474457093296,52.49030677781943
7,7.0,6.0,125.0,7.0,9.0,1.0,0.0,25000.0,0.01055,0.5969186460709381,56.57996645222162
8,8.0,6.0,125.0,7.0,10.0,1.0,0.0,25000.0,0.010539999999999999,0.6501010916397283,61.67942045917726
9,9.0,6.0,125.0,7.0,11.0,1.0,0.0,25000.0,0.01058,0.6677206338132817,63.11159109766367
10,10.0,6.0,125.0,7.0,12.0,1.0,0.0,25000.0,0.01058,0.7165203861153837,67.72404405627445
11,11.0,6.0,125.0,7.0,13.0,1.0,0.0,25000.0,0.010539999999999999,0.7712402732577863,73.17270144760782
12,12.0,6.0,125.0,7.0,14.0,1.0,0.0,25000.0,0.01058,0.8297495187224285,78.42623050306507
13,13.0,6.0,125.0,7.0,15.0,1.0,0.0,25000.0,0.01058,0.891401555144234,84.25345511760246
14,14.0,6.0,125.0,7.0,16.0,1.0,0.0,25000.0,0.010539999999999999,0.9646764619219659,91.52528101726432
15,15.0,6.0,125.0,7.0,17.0,1.0,0.0,25000.0,0.010539999999999999,1.0483210381978385,99.46119907000366
16,16.0,7.0,125.0,7.0,2.0,1.0,0.0,50000.0,0.028120000000000003,0.9582651170939229,34.077706866782464
17,17.0,7.0,125.0,7.0,3.0,1.0,0.0,50000.0,0.02811,1.0273195173663796,36.54640759040838
18,18.0,7.0,125.0,7.0,4.0,1.0,0.0,50000.0,0.028079999999999997,1.1096309246867655,39.51677082217826
19,19.0,7.0,125.0,7.0,5.0,1.0,0.0,50000.0,0.028079999999999997,1.1885272307610406,42.3264683319459
20,20.0,7.0,125.0,7.0,6.0,1.0,0.0,50000.0,0.02809,1.277775143447426,45.488613152275754
21,21.0,7.0,125.0,7.0,7.0,1.0,0.0,50000.0,0.028079999999999997,1.3792110740228765,49.11720349084318
22,22.0,7.0,125.0,7.0,8.0,1.0,0.0,50000.0,0.02809,1.4756762429314285,52.5338641129024
23,23.0,7.0,125.0,7.0,9.0,1.0,0.0,50000.0,0.028079999999999997,1.5891116567860442,56.59229546958847
24,24.0,7.0,125.0,7.0,10.0,1.0,0.0,50000.0,0.0281,1.7304235532300944,61.58090936761902
25,25.0,7.0,125.0,7.0,11.0,1.0,0.0,50000.0,0.028079999999999997,1.778504594495378,63.33705820852486
26,26.0,7.0,125.0,7.0,12.0,1.0,0.0,50000.0,0.028079999999999997,1.9089550819298413,67.98273083795732
27,27.0,7.0,125.0,7.0,13.0,1.0,0.0,50000.0,0.02811,2.0514558777446323,72.979575871385
28,28.0,7.0,125.0,7.0,14.0,1.0,0.0,50000.0,0.02811,2.20424661193104,78.41503422024333
29,29.0,7.0,125.0,7.0,15.0,1.0,0.0,50000.0,0.02807,2.3774413453180263,84.6968772824377
30,30.0,7.0,125.0,7.0,16.0,1.0,0.0,50000.0,0.028079999999999997,2.582809326380547,91.98038911611636
31,31.0,7.0,125.0,7.0,17.0,1.0,0.0,50000.0,0.02807,2.8027621873345363,99.84902698021148
32,32.0,8.0,125.0,7.0,2.0,1.0,0.0,85000.0,0.055990000000000005,1.9077911138021164,34.0737830648708
33,33.0,8.0,125.0,7.0,3.0,1.0,0.0,85000.0,0.055979999999999995,2.046118185685295,36.55087862960513
34,34.0,8.0,125.0,7.0,4.0,1.0,0.0,85000.0,0.05601,2.2115256835930834,39.48447926429358
35,35.0,8.0,125.0,7.0,5.0,1.0,0.0,85000.0,0.05602,2.370096252917606,42.30803736018576
36,36.0,8.0,125.0,7.0,6.0,1.0,0.0,85000.0,0.055979999999999995,2.551847496022247,45.58498563812517
37,37.0,8.0,125.0,7.0,7.0,1.0,0.0,85000.0,0.055979999999999995,2.749729351706791,49.11985265642714
38,38.0,8.0,125.0,7.0,8.0,1.0,0.0,85000.0,0.055979999999999995,2.9430885057689493,52.57392829169256
39,39.0,8.0,125.0,7.0,9.0,1.0,0.0,85000.0,0.05602,3.1684682672657707,56.559590633091226
40,40.0,8.0,125.0,7.0,10.0,1.0,0.0,85000.0,0.055990000000000005,3.45241991848607,61.66136664558082
41,41.0,8.0,125.0,7.0,11.0,1.0,0.0,85000.0,0.05602,3.551998107204098,63.40589266697783
42,42.0,8.0,125.0,7.0,12.0,1.0,0.0,85000.0,0.055979999999999995,3.8089956558350666,68.04208031145171
43,43.0,8.0,125.0,7.0,13.0,1.0,0.0,85000.0,0.05602,4.103778444733126,73.25559522908115
44,44.0,8.0,125.0,7.0,14.0,1.0,0.0,85000.0,0.055979999999999995,4.4145701502867984,78.85977403156126
45,45.0,8.0,125.0,7.0,15.0,1.0,0.0,85000.0,0.055979999999999995,4.753361742920296,84.91178533262409
46,46.0,8.0,125.0,7.0,16.0,1.0,0.0,85000.0,0.055979999999999995,5.167556168402925,92.31075684892686
47,47.0,8.0,125.0,7.0,17.0,1.0,0.0,85000.0,0.055979999999999995,5.627426316597651,100.5256576741274
48,48.0,6.0,250.0,7.0,2.0,1.0,0.0,13000.0,0.00536,0.1807578792988212,33.72348494380992
49,49.0,6.0,250.0,7.0,3.0,1.0,0.0,13000.0,0.00536,0.19363960110813655,36.126791251518014
50,50.0,6.0,250.0,7.0,4.0,1.0,0.0,13000.0,0.00536,0.20892245347802882,38.978069678736716
51,51.0,6.0,250.0,7.0,5.0,1.0,0.0,13000.0,0.00536,0.223500034869041,41.697767699447944
52,52.0,6.0,250.0,7.0,6.0,1.0,0.0,13000.0,0.00536,0.24031160622760428,44.83425489320975
53,53.0,6.0,250.0,7.0,7.0,1.0,0.0,13000.0,0.00537,0.25893936237393644,48.21962055380567
54,54.0,6.0,250.0,7.0,8.0,1.0,0.0,13000.0,0.00536,0.276915446842815,51.66332963485355
55,55.0,6.0,250.0,7.0,9.0,1.0,0.0,13000.0,0.00538,0.2976825920722298,55.331336816399585
56,56.0,6.0,250.0,7.0,10.0,1.0,0.0,13000.0,0.00537,0.3243962108065318,60.408977803823426
57,57.0,6.0,250.0,7.0,11.0,1.0,0.0,13000.0,0.00537,0.3325529955871328,61.92793213913088
58,58.0,6.0,250.0,7.0,12.0,1.0,0.0,13000.0,0.0054,0.35440487994448316,65.63053332305243
59,59.0,6.0,250.0,7.0,13.0,1.0,0.0,13000.0,0.00537,0.3837215472182618,71.45652648384764
60,60.0,6.0,250.0,7.0,14.0,1.0,0.0,13000.0,0.00536,0.412311896354408,76.92386126015074
61,61.0,6.0,250.0,7.0,15.0,1.0,0.0,13000.0,0.00537,0.443301404535996,82.5514719806324
62,62.0,6.0,250.0,7.0,16.0,1.0,0.0,13000.0,0.00538,0.4823392390568963,89.6541336536982
63,63.0,6.0,250.0,7.0,17.0,1.0,0.0,13000.0,0.0054,0.5242499486644568,97.08332382675125
64,64.0,7.0,250.0,7.0,2.0,1.0,0.0,25000.0,0.01413,0.48306021880221095,34.18685200298733
65,65.0,7.0,250.0,7.0,3.0,1.0,0.0,25000.0,0.01413,0.5182464079258947,36.677028161775986
66,66.0,7.0,250.0,7.0,4.0,1.0,0.0,25000.0,0.01413,0.5593329914739421,39.584783543803404
67,67.0,7.0,250.0,7.0,5.0,1.0,0.0,25000.0,0.01416,0.598576572202085,42.27235679393256
68,68.0,7.0,250.0,7.0,6.0,1.0,0.0,25000.0,0.01417,0.6434681167837993,45.4105939861538
69,69.0,7.0,250.0,7.0,7.0,1.0,0.0,25000.0,0.01417,0.6937323469185042,48.957822647742
70,70.0,7.0,250.0,7.0,8.0,1.0,0.0,25000.0,0.01414,0.7413256097543265,52.4275537308576
71,71.0,7.0,250.0,7.0,9.0,1.0,0.0,25000.0,0.01413,0.7986869907594657,56.52420316769042
72,72.0,7.0,250.0,7.0,10.0,1.0,0.0,25000.0,0.01413,0.870306185505476,61.59279444483199
73,73.0,7.0,250.0,7.0,11.0,1.0,0.0,25000.0,0.01413,0.8939787787876318,63.26813721073119
74,74.0,7.0,250.0,7.0,12.0,1.0,0.0,25000.0,0.01413,0.9574836037748691,67.76246311216342
75,75.0,7.0,250.0,7.0,13.0,1.0,0.0,25000.0,0.01416,1.02978776764121,72.72512483341877
76,76.0,7.0,250.0,7.0,14.0,1.0,0.0,25000.0,0.01417,1.108096017400293,78.20014237122744
77,77.0,7.0,250.0,7.0,15.0,1.0,0.0,25000.0,0.01416,1.1919979330529054,84.18064498961195
78,78.0,7.0,250.0,7.0,16.0,1.0,0.0,25000.0,0.01416,1.2944401715067628,91.41526634934765
79,79.0,7.0,250.0,7.0,17.0,1.0,0.0,25000.0,0.01413,1.4062153015826013,99.51983733776372
80,80.0,8.0,250.0,7.0,2.0,1.0,0.0,43000.0,0.028079999999999997,0.9643232338670484,34.34199550808577
81,81.0,8.0,250.0,7.0,3.0,1.0,0.0,43000.0,0.028120000000000003,1.033522251866306,36.75399188713748
82,82.0,8.0,250.0,7.0,4.0,1.0,0.0,43000.0,0.028120000000000003,1.1163109333981571,39.69811285199705
83,83.0,8.0,250.0,7.0,5.0,1.0,0.0,43000.0,0.028079999999999997,1.1931331567858616,42.49049703653354
84,84.0,8.0,250.0,7.0,6.0,1.0,0.0,43000.0,0.028079999999999997,1.2831355418337254,45.69571017926373
85,85.0,8.0,250.0,7.0,7.0,1.0,0.0,43000.0,0.028079999999999997,1.3845851718682212,49.30858874174577
86,86.0,8.0,250.0,7.0,8.0,1.0,0.0,43000.0,0.028120000000000003,1.4776263206966227,52.547166454360685
87,87.0,8.0,250.0,7.0,9.0,1.0,0.0,43000.0,0.02809,1.5921238886721436,56.67938371919343
88,88.0,8.0,250.0,7.0,10.0,1.0,0.0,43000.0,0.028079999999999997,1.736601312730098,61.84477609437672
89,89.0,8.0,250.0,7.0,11.0,1.0,0.0,43000.0,0.028079999999999997,1.785219489818796,63.57619265736454
90,90.0,8.0,250.0,7.0,12.0,1.0,0.0,43000.0,0.028120000000000003,1.9102163208745084,67.93087912071509
91,91.0,8.0,250.0,7.0,13.0,1.0,0.0,43000.0,0.028079999999999997,2.0588094255192235,73.31942398572734
92,92.0,8.0,250.0,7.0,14.0,1.0,0.0,43000.0,0.0281,2.209880392398715,78.64343033447385
93,93.0,8.0,250.0,7.0,15.0,1.0,0.0,43000.0,0.02809,2.3725640883480734,84.46294369341663
94,94.0,8.0,250.0,7.0,16.0,1.0,0.0,43000.0,0.02811,2.5901032442525413,92.14170203673217
95,95.0,8.0,250.0,7.0,17.0,1.0,0.0,43000.0,0.028120000000000003,2.8188309117472907,100.24292004791218
96,96.0,6.0,500.0,7.0,2.0,1.0,0.0,7000.0,0.00281,0.09333124560855091,33.21396640873698
97,97.0,6.0,500.0,7.0,3.0,1.0,0.0,7000.0,0.00278,0.09942553746523995,35.76458182202876
98,98.0,6.0,500.0,7.0,4.0,1.0,0.0,7000.0,0.00277,0.10710654213833579,38.66662171059054
99,99.0,6.0,500.0,7.0,5.0,1.0,0.0,7000.0,0.00277,0.11440029404122354,41.29974514123594
100,100.0,6.0,500.0,7.0,6.0,1.0,0.0,7000.0,0.00277,0.12291947949696362,44.37526335630456
101,101.0,6.0,500.0,7.0,7.0,1.0,0.0,7000.0,0.00278,0.13227502599365198,47.580944602033085
102,102.0,6.0,500.0,7.0,8.0,1.0,0.0,7000.0,0.00278,0.14146064287042043,50.885123334683605
103,103.0,6.0,500.0,7.0,9.0,1.0,0.0,7000.0,0.00279,0.1522075604202759,54.55468115422075
104,104.0,6.0,500.0,7.0,10.0,1.0,0.0,7000.0,0.00277,0.15947847215950442,57.5734556532507
105,105.0,6.0,500.0,7.0,11.0,1.0,0.0,7000.0,0.00277,0.16890872398052367,60.97787869332985
106,106.0,6.0,500.0,7.0,12.0,1.0,0.0,7000.0,0.00281,0.1805817621450473,64.26397229361113
